frame_idx,status
622,WARNING
623,WARNING
624,WARNING
625,WARNING
626,WARNING
627,CLEAR
628,CLEAR
629,CLEAR
630,WARNING
631,STOP
632,STOP
633,CLEAR
634,CLEAR
635,CLEAR
636,CLEAR
637,CLEAR
638,CLEAR
639,CLEAR
640,CLEAR
641,CLEAR
642,CLEAR
643,CLEAR
644,CLEAR
645,CLEAR
646,CLEAR
647,CLEAR
648,CLEAR
649,CLEAR
650,CLEAR
651,CLEAR
652,CLEAR
653,WARNING
654,CLEAR
655,CLEAR
656,CLEAR
657,WARNING
658,WARNING
659,CLEAR
660,CLEAR
661,WARNING
662,WARNING
663,WARNING
664,WARNING
665,WARNING
666,CLEAR
667,CLEAR
668,CLEAR
669,CLEAR
670,WARNING
671,WARNING
672,WARNING
673,WARNING
674,WARNING
675,WARNING
676,WARNING
677,CLEAR
678,CLEAR
679,CLEAR
680,CLEAR
681,WARNING
682,WARNING
683,WARNING
684,WARNING
685,STOP
686,WARNING
687,WARNING
688,WARNING
689,WARNING
690,WARNING
691,CLEAR
692,CLEAR
693,CLEAR
694,CLEAR
695,CLEAR
696,WARNING
697,WARNING
698,WARNING
699,WARNING
700,WARNING
701,WARNING
702,WARNING
703,WARNING
704,WARNING
705,WARNING
706,WARNING
707,WARNING
708,WARNING
709,WARNING
710,WARNING
711,WARNING
712,WARNING
713,WARNING
714,WARNING
715,WARNING
716,WARNING
717,WARNING
718,WARNING
719,WARNING
720,WARNING
721,WARNING
722,STOP
723,WARNING
724,WARNING
725,WARNING
726,WARNING
727,WARNING
728,WARNING
729,WARNING
730,WARNING
731,WARNING
732,WARNING
733,WARNING
734,WARNING
735,CLEAR
736,CLEAR
737,CLEAR
738,CLEAR
739,WARNING
740,WARNING
741,WARNING
742,WARNING
743,WARNING
744,WARNING
745,WARNING
746,WARNING
747,WARNING
748,WARNING
749,WARNING
750,WARNING
751,WARNING
752,WARNING
753,WARNING
754,WARNING
755,STOP
756,STOP
757,STOP
758,STOP
759,STOP
760,STOP
761,STOP
762,STOP
763,STOP
764,STOP
765,STOP
766,STOP
767,STOP
768,STOP
769,STOP
770,STOP
771,STOP
772,STOP
773,STOP
774,STOP
775,STOP
776,STOP
777,STOP
778,STOP
779,STOP
780,STOP
781,STOP
782,STOP
783,STOP
784,STOP
785,STOP
786,STOP
787,STOP
788,STOP
789,STOP
790,STOP
791,STOP
792,STOP
793,STOP
794,STOP
795,STOP
796,STOP
797,STOP
798,STOP
799,STOP
800,STOP
801,STOP
802,WARNING
803,CLEAR
804,CLEAR
805,CLEAR
806,CLEAR
807,CLEAR
808,CLEAR
809,CLEAR
810,CLEAR
811,WARNING
812,WARNING
813,CLEAR
814,CLEAR
815,CLEAR
816,WARNING
817,WARNING
818,WARNING
819,WARNING
820,WARNING
821,WARNING
822,WARNING
823,CLEAR
824,CLEAR
825,CLEAR
826,CLEAR
827,CLEAR
828,CLEAR
829,CLEAR
830,CLEAR
831,CLEAR
832,WARNING
833,WARNING
834,WARNING
835,WARNING
836,WARNING
837,WARNING
838,WARNING
839,WARNING
840,WARNING
841,WARNING
842,STOP
843,WARNING
844,WARNING
845,WARNING
846,CLEAR
847,WARNING
848,CLEAR
849,CLEAR
850,CLEAR
851,CLEAR
852,CLEAR
853,CLEAR
854,CLEAR
855,CLEAR
856,CLEAR
857,CLEAR
858,CLEAR
859,CLEAR
860,CLEAR
861,CLEAR
862,WARNING
863,WARNING
864,WARNING
865,WARNING
866,WARNING
867,WARNING
868,WARNING
869,WARNING
870,WARNING
871,WARNING
872,WARNING
873,WARNING
874,WARNING
875,WARNING
876,WARNING
877,WARNING
878,WARNING
879,WARNING
880,WARNING
881,WARNING
882,WARNING
883,WARNING
884,WARNING
885,WARNING
886,WARNING
887,WARNING
888,WARNING
889,WARNING
890,WARNING
891,WARNING
892,WARNING
893,WARNING
894,WARNING
895,WARNING
896,WARNING
897,WARNING
898,WARNING
899,WARNING
900,WARNING
901,WARNING
902,WARNING
903,STOP
904,STOP
905,STOP
906,WARNING
907,WARNING
908,WARNING
909,WARNING
910,WARNING
911,WARNING
912,WARNING
913,WARNING
914,WARNING
915,STOP
916,STOP
917,STOP
918,STOP
919,STOP
920,STOP
921,STOP
922,STOP
923,STOP
924,STOP
925,STOP
926,STOP
927,STOP
928,STOP
929,WARNING
930,WARNING
931,WARNING
932,CLEAR
933,CLEAR
934,CLEAR
935,CLEAR
936,CLEAR
937,WARNING
938,CLEAR
939,CLEAR
940,CLEAR
941,CLEAR
942,CLEAR
943,CLEAR
944,CLEAR
945,WARNING
946,WARNING
947,WARNING
948,WARNING
949,WARNING
950,WARNING
951,WARNING
952,WARNING
953,WARNING
954,WARNING
955,WARNING
956,WARNING
957,WARNING
958,STOP
959,STOP
960,STOP
961,STOP
962,STOP
963,STOP
964,STOP
965,STOP
966,STOP
967,STOP
968,STOP
969,STOP
970,STOP
971,STOP
972,STOP
973,STOP
974,STOP
975,STOP
976,STOP
977,STOP
978,CLEAR
979,CLEAR
980,CLEAR
981,CLEAR
982,CLEAR
983,WARNING
984,WARNING
985,WARNING
986,STOP
987,STOP
988,STOP
989,STOP
990,STOP
991,STOP
992,STOP
993,STOP
994,STOP
995,STOP
996,STOP
997,WARNING
998,WARNING
999,WARNING
1000,WARNING
1001,WARNING
1002,CLEAR
1003,WARNING
1004,WARNING
1005,CLEAR
1006,WARNING
1007,WARNING
1008,WARNING
1009,WARNING
1010,WARNING
1011,WARNING
1012,WARNING
1013,CLEAR
1014,CLEAR
1015,WARNING
1016,WARNING
1017,WARNING
1018,CLEAR
1019,CLEAR
1020,CLEAR
1021,WARNING
1022,WARNING
